mouse human
Q9QZ23 Q9UMS0
Q91WD5 O75306
Q8QZV7 Q9NVM9
Q9CQF0 Q9Y3B7
Q9DBL7 Q13057
Q60738 Q9Y6M5
Q9CRB9 Q9NX63
P43276 P16401
Q61550 O60216
Q9Z1N2 Q13415
Q9D0F1 O14777
Q8K212 Q6VY07
Q8VDU0 P81274
Q9D0I9 P54136
Q9D2E2 Q96GM8
Q924M7 P34949
Q8R1G6 Q96JY6
Q9CZX8 P39019
P11983 P17987
O08529 P17655
P20108 P30048
O08663 P50579
P97379 Q9UN86
Q8CI71 Q96JG6
P26231 P35221
P83887 P23258
Q99JY0 P55084
Q8C3R1 Q6PJG6
Q9D0F9 P36871
P61620 P61619
Q9CRB2 Q9NX24
Q9CQW2 Q9NVJ2
Q8BZQ7 Q9UJX6
P11440 P06493
Q6P549 O15357
Q99KH8 Q9Y6E0
P68037 P68036
P58854 Q96CW5
A2ADY9 Q92681
Q5SF07 Q9Y6M1
Q9D281 Q8IWE2
O09110 P46734
Q9ER69 Q15007
Q64314 P28906
O08579 P50402
Q80UM7 Q13724
Q921C5 Q8TD16
Q9D958 Q9Y6A9
Q99KJ8 Q13561
O88700 P54132
Q9R059 Q13643
Q9D5T0 Q8NBU5
Q9CWS0 O94760
A2A5K6 Q9H4Z2
Q80WS3 A6NHQ2
Q9Z191 O95677
P62242 P62241
P29758 P04181
Q8BHJ5 Q9BZK7
Q6P5E4 Q9NYU2
Q6NZQ4 Q6ZW49
Q8BSE0 Q96LZ7
Q8R2W9 Q9H999
Q9D0R4 Q9NY93
Q78JW9 O14562
P18654 P51812
P63038 P10809
Q921N6 Q96GQ7
P70671 Q14653
Q62130 Q15678
P59326 Q9BYJ9
P62960 P67809
Q01853 P55072
P62192 P62191
P70333 P55795
Q9D4H1 Q96KP1
P54103 Q99543
Q8BTU1 Q9Y6A4
Q9JLV1 O95817
Q9Z1Q9 P26640
Q9CQ65 Q13126
Q8VHX6 Q14315
Q9DAI2 Q9H7X7
Q9R1P0 P25789
Q9CZW4 O95573
Q8BT07 Q53EZ4
Q8BK67 Q9P258
Q9DB96 Q8NEJ9
Q8R1B4 B5ME19
Q8K0D5 Q96RP9
P51150 P51149
Q80SW1 O43865
Q9CZU4 O75616
P97304 Q9Y2S0
Q9DCD0 P52209
O70579 O43808
O70306 Q96SF7
Q8BYW9 Q5NDL2
P22518 P49759
P35700 Q06830
O09005 O15121
Q8K4F6 Q96P11
O70572 O60906
Q8CGA0 P49593
O88413 O75386
Q8K3W3 O15234
Q3UHC2 Q38SD2
Q640M1 Q9BVJ6
Q61072 Q13443
Q9D6T0 Q9Y314
Q9WTX6 Q13616
O54724 Q6NZI2
Q8JZM7 Q6P1J9
O55106 O43815
P62889 P62888
O70591 Q9UHV9
Q91VI7 P13489
Q9JJ89 Q9H6F5
O70435 P25788
P68372 P68371
P48678 P02545
P97450 P18859
Q9CQN1 Q12931
Q9CQS2 Q9NPE3
Q99J95 P50750
Q71FD7 Q8WUP2
Q3UDE2 Q14166
Q99KD5 Q9H3U1
Q3TC46 Q86TB9
Q9EPK7 Q9UIA9
Q8CHP8 A6NDG6
Q922E6 Q9NYY8
O70551 Q96SB4
A2AIV2 Q69YN4
Q8CI43 P14649
Q62465 Q99536
Q91YU6 Q9BRK4
O88532 Q96KR1
Q9D0S9 Q9BX68
P04627 P10398
P45591 Q9Y281
Q9EP97 Q9H4L4
Q8BKC5 O00410
P28660 Q9Y2A7
P28063 P28062
O88708 O43929
P21550 P13929
P43406 P06756
Q99J36 Q9NXG2
Q9Z2D1 Q13614
O88983 Q9UNK0
Q8BFQ4 Q6UXN9
Q5NC05 Q9UNY4
Q8K1R7 Q8TD19
Q99NH0 O75179
P53994 P61019
Q8BWR4 Q9NVE5
Q91YQ5 P04843
Q6PD19 Q5T2E6
Q9JJ94 O43805
Q6ZQ73 O75155
Q8K389 Q96SN8
Q99KK9 P49590
Q9D6J3 Q9BW85
Q99J62 P35249
B2RX14 Q5TAX3
Q61578 P22570
Q9QZM0 Q9UHD9
Q8C2E7 Q12768
P54728 P54727
Q9D1P4 Q9UHD1
Q8R2R3 Q6PD74
P29595 Q15843
Q91YM4 Q969Z0
Q9DB28 Q969H6
Q925I1 Q9NVI7
Q923D5 Q9Y2W2
O35864 Q92905
Q80SY4 Q86YT6
O35381 P39687
Q7TMM9 Q13885
P70202 Q9BS40
Q8CI11 Q9BVP2
Q9Z1Q5 O00299
P58281 O60313
Q8BG40 Q9BVA0
Q64318 P37275
O55234 P28074
Q3UE37 Q9H832
B1AY13 Q9UPU5
Q8CIE6 P53621
O55125 Q9BPW8
P38060 P35914
Q91Z38 Q99614
Q62074 P41743
O35621 Q92871
Q924W5 Q96SB8
Q9ESP1 Q9HCN8
Q8CAY6 Q9BWD1
Q9DCS3 Q9BV79
Q8BU31 Q9Y3L5
P26369 P26368
Q9EQM6 Q8WYQ5
Q62165 Q14118
Q80UK8 Q9H0H0
Q6PIJ4 Q6P4R8
Q5SW75 Q76I76
Q9D7Z3 Q9UMY1
Q3UKC1 Q86VP1
Q9Z0H7 O95999
P50518 P36543
Q9D2Q3 Q9H8K7
O55091 Q9P2X3
Q8BJH1 Q96GY0
Q3UIA2 Q68EM7
Q8C263 Q8IX90
Q8BH93 Q8NDC0
O88907 O75925
Q9QUM9 P60900
Q6DFV1 Q86XI2
P31938 Q02750
P52633 P42226
Q924C1 Q9HAV4
Q8BTS4 Q7Z3B4
Q9CQ80 Q9BRG1
Q5SUF2 O95232
P14148 P18124
Q9JKB1 P15374
Q9WVL3 Q9Y666
Q80U87 P40818
Q8VHL1 Q8WTS6
Q9D554 Q12874
Q8CFE6 Q96QD8
Q810A3 Q8N5M4
Q9R0Q7 Q15185
Q9CQ40 Q13405
Q8C0Z1 Q9H0X4
Q80ZI6 Q6UWE0
Q8R016 Q13867
Q3U308 Q2VPK5
Q7TMB8 Q7L576
Q80V62 Q9BXW9
Q9R1P4 P25786
P33215 Q8NHV4
Q9DBF7 Q9NXE8
O35963 Q9H082
P50396 P31150
Q69Z38 Q9H792
Q9D1K2 Q16864
Q9Z1F9 Q9UBT2
Q9QYF9 Q9UGV2
P40142 P29401
Q9CZI9 Q8WTP8
Q9JKY5 O75146
Q05816 Q01469
P15105 P15104
O89023 O14773
Q8VDN4 Q53HC0
Q01320 P11388
Q69ZA1 Q14004
Q8VI84 Q8WTT2
Q7TPV4 Q9BQG0
Q99LC8 Q14232
P49586 P49585
O70472 Q92545
Q8R0F8 Q6P587
Q9JJY4 Q9UHI6
Q99LL5 Q13610
Q8VEM8 Q00325
Q810D6 Q9BQ67
Q6A028 Q9UH65
Q9CRA8 Q9NQT4
Q8C1Y8 P86790
Q9D024 Q96A33
Q62384 O75312
P34022 P43487
P10630 Q14240
B1AZI6 Q8NI27
P83882 P83881
Q8VHR5 Q8WXI9
Q3THS6 P31153
Q6PAC3 Q9NV06
P26187 P16455
Q9WV91 Q9P2B2
Q8C1B1 Q08AD1
P11087 P02452
Q8BHG9 Q9UFW8
Q78XF5 Q9NRP0
Q9Z0R9 O95864
Q91VK1 Q9Y6E2
Q99L48 Q96D46
Q99J09 Q9BQA1
Q8BGD9 P23588
Q3THK3 P35269
P58774 P07951
P62918 P62917
Q9CXY9 Q92643
P47963 P26373
P97287 Q07820
Q9QZE5 Q9Y678
