mouse_uniprot	mouse_entrez	human_entrez
Q3TIV5	69082	55854
Q6PEV3	68524	147179
Q9D1P4	66917	26973
Q99N92	94064	51264
Q8R2R3	66939	79719
Q3UH60	239667	57609
Q9DAR7	69305	28960
O35382	20336	60412
Q6PDK2	381022	8085
Q9QUR6	19072	5550
P29595	18002	4738
Q9CXG3	67418	85313
Q91YM4	21379	9238
O70126	20877	9212
Q8BU33	216136	10994
Q8R1V4	103694	222068
Q8K2V6	76582	51194
O09131	14873	9446
Q9DB28	117109	51367
P84244	15081	3020
P84244	544973	3020
P84244	625328	3020
P84244	667250	3020
P84244	102642045	3020
Q60749	20218	10657
P50580	18813	5036
Q9CWP6	76763	158747
Q925I1	108888	55210
Q6ZPE2	77980	6305
Q923D5	60321	51729
O35864	26754	10987
Q64133	17161	4128
P97429	11746	307
Q9QYB1	29876	25932
Q8VHK9	72162	170506
P30681	97165	3148
P50247	11615	191
Q9CQ69	22272	27089
Q04692	13990	56916
P50247	269378	191
P61982	22628	7532
Q80SY4	225164	57534
O35381	11737	23519
O35381	11737	8125
Q7TMM9	22151	7280
P70202	17035	56925
G3X9K3	211673	10565
Q9CY58	66870	26135
Q8K4Z3	246703	128240
Q64302	17112	4071
Q9Z104	15353	10362
Q03265	11946	498
Q8C0E3	217333	91107
Q07076	11750	310
P53810	18738	5306
Q8CI11	30877	26354
Q8BJL1	71865	84085
Q8R0G9	234865	55746
Q9QXE7	21372	90665
Q9QXE7	21372	6907
Q8K0D0	237459	5128
P00493	15452	3251
Q8BJ71	71805	9688
Q8BLY2	272396	123283
P21279	14682	2776
P57759	67397	10961
Q9Z1Q5	114584	1192
Q9JHI5	56357	3712
P40336	30930	9559
O88967	27377	10730
P67778	18673	5245
P67778	237880	5245
P58281	74143	4976
Q80WJ7	67154	92140
Q62186	20832	6748
Q8R4U7	269593	7798
P52875	21982	55858
Q8BG40	74187	10300
Q8R180	50527	30001
Q80U72	105782	23513
Q64318	21417	6935
O54782	17160	23324
Q9ESJ0	57258	64328
Q8BG81	73826	84271
Q99MN1	85305	3735
Q9CZ13	22273	7384
P70303	55936	56474
O55234	19173	5693
Q8C878	22200	9039
Q9CQB5	67006	493856
Q3UE37	268470	65264
O88569	53379	3181
O88569	102642938	3181
Q8BY46	232976	64763
B1AY13	329908	23358
Q9DC23	66861	54431
Q9DCL9	67054	10606
Q8CIE6	12847	1314
P97813	18806	5338
O55125	18082	8508
P38060	15356	3155
Q640N1	11568	165
Q91Z38	66827	7265
P61027	19325	10890
Q62074	18759	5584
Q8C547	320473	54497
Q8BY71	107435	8520
Q9ER41	30934	27348
Q60676	19060	5536
P27773	14827	2923
Q9QYR9	171210	10965
Q9QYR9	171210	641371
P70349	15254	3094
O35621	29858	5372
Q8R0A0	68705	2963
Q99J10	233189	90353
Q924W5	67241	79677
Q8K2T8	54624	54623
Q3U1V6	54122	55293
Q9ESP1	64136	23753
Q8CAY6	110460	39
Q9CPV5	67037	11243
P11157	20135	6241
Q3TYS2	217370	79415
Q91XV3	70350	10409
Q3B7Z2	76303	5007
P52431	18971	5424
Q9DCS3	26922	51102
Q00422	14390	2551
Q8BU31	72065	57826
Q3U7U3	69754	25793
P26369	22185	11338
A2AWA9	227800	2844
A2AWA9	227800	23637
Q9EQM6	94223	54487
Q4VA53	100710	23047
Q62165	13138	1605
Q80UK8	70422	57508
O35286	13204	1665
Q8BGT7	76479	10285
Q8R5H1	14479	9958
Q6PIJ4	235134	4798
Q9JIH2	18141	10762
Q5SW75	237860	85464
Q99KI3	66087	55831
Q9D7Z3	70078	51406
Q62351	22042	7037
Q9EP72	73024	56851
Q3UKC1	52440	8887
P31324	19088	5577
Q99P72	68585	57142
Q9WUA2	23874	10056
Q9CQM9	30926	10539
Q923D4	66125	83443
Q91V41	68365	51552
Q8K0C1	230673	9670
P84078	11840	375
Q9JHJ3	56700	112770
Q91WS0	52637	55847
P23591	22122	7264
Q9Z0H7	12042	8915
Q80V26	242291	54928
Q9CS74	70601	11319
Q9Z1Y4	22051	7205
P35822	19272	5796
Q9CZ30	67059	29789
P50518	11973	529
O08807	53381	10549
O35593	59029	10213
Q80W68	170643	55243
Q9CWF2	73710	347733
Q9D2Q3	68277	80007
Q8VDM1	229007	84619
Q8CGK3	74142	9361
P10852	17254	6520
O55091	16210	55364
Q5SSI6	217109	51096
P60710	11461	60
Q6PAJ1	110279	613
Q6NSQ7	353258	84946
Q8BJH1	67306	51101
Q64442	20322	6652
Q8BH74	103468	57122
Q3UIA2	70497	55114
P62874	14688	2782
Q8C263	219114	221150
O08583	21681	10189
Q9R099	27368	26608
Q8BH93	218975	93487
Q9DCE5	68083	55003
O88907	56469	8554
B1AVZ0	331487	139596
Q9Z2Y8	114863	11212
Q63918	20324	8436
Q9WTK5	18034	4791
Q9QUM9	26443	5687
P63166	22218	7341
P24638	11432	53
P27048	20638	6628
Q6DFV1	76044	54892
Q9D786	71909	23354
P55096	19299	5825
P31938	26395	5604
Q61586	14732	57678
P63073	13684	1977
P52633	20852	6778
Q9CZE3	67844	10981
Q924C1	72322	57510
Q02614	57230	29115
Q02614	102643099	29115
P10605	13030	1508
Q8BHJ9	193116	10569
Q921M7	223601	51571
Q9CX86	77134	10949
Q8BTS4	269113	53371
Q9CQ80	28084	84313
Q5SUF2	67684	51747
A6H5Z3	75914	23233
Q99MJ9	94213	79009
Q8VBT9	68938	79058
Q06185	11958	521
P23242	14609	2697
P14148	19989	6129
Q8JZR0	433256	51703
O08734	12018	578
P19096	14104	2194
Q9JKB1	50933	7347
Q9CQ19	98932	10398
P41731	12512	967
Q9WVL3	20499	10723
Q80U87	84092	9101
A8C756	240174	63892
Q61102	11306	22
Q9QXB9	13495	1819
Q9CZW5	28185	9868
Q91W69	71889	55040
Q8CE33	217194	55175
O35127	14790	113246
Q8VHL1	73251	80854
Q9R0P5	56431	11034
P54731	14084	11124
P70206	18844	5361
Q9D554	75062	10946
Q8CFE6	67760	54407
Q9D8U8	69178	27131
Q922B2	226414	1615
Q8CDM8	226252	57700
P00375	13361	200895
P15975	99526	54532
O35685	18221	10726
Q922Q2	71340	83732
Q810A3	70387	283237
P61406	103677	23293
Q9Z2X1	98758	3185
Q9Z2D0	210376	66036
P05064	11674	226
Q9R0Q7	56351	10728
Q9R0Q7	102641464	10728
Q91XL2	140887	222484
Q9CQ40	18120	740
Q9DBG3	71770	163
Q9ERG0	65970	51474
Q8CDJ8	77057	11037
Q8CDJ8	77057	286749
P70195	19177	5695
Q8C0Z1	106581	83986
P54729	53312	51667
Q9CYL5	384009	152007
Q80ZI6	227738	90678
Q8K268	27406	55324
Q9WVA2	NA	1678
Q7TPM9	233315	54893
Q64433	15528	3336
Q9CQ85	56322	29928
Q8R1N4	209586	23386
Q8BFR5	233870	7284
Q6A009	78913	26046
Q8R016	104184	642
Q3U308	66965	348180
Q99LF4	28088	51493
P08113	22027	7184
Q66JV4	77604	389677
Q8K183	216134	8566
Q8K183	216134	105372824
P97454	17129	4090
Q8BTW9	70584	55095
Q8BTW9	233033	55095
Q8CH77	215690	89796
P61924	56447	22818
O35640	11752	643650
O35640	11752	728113
Q7TMB8	20430	23191
Q99KQ4	59027	10135
Q8BG32	69077	5717
Q9CQV7	67713	131118
Q9CQV7	100503724	131118
Q80V62	211651	2177
Q64327	17256	4201
Q9CY64	109778	644
Q9D023	70456	25874
Q9R1P4	26440	5682
P33215	17997	121441
Q9DBF7	67480	54883
Q80UY1	67383	138199
Q60597	18293	4967
O35963	19338	83452
P50396	14567	2664
Q99ME2	83669	11180
Q8BZM1	170823	11146
Q69Z38	244895	79834
Q9D1K2	66144	9296
P12970	27176	6130
P12970	105245385	6130
Q6NZF1	70579	9877
Q6NZF1	70579	441155
Q8R0X7	20397	8879
P62141	19046	5500
Q9DBR0	56399	10270
P35831	19248	5782
Q9Z1F9	50995	10054
Q9QYF9	29812	57446
O88477	140486	10642
Q9Z2M6	24109	5412
Q80U93	227720	8021
P40142	21881	7086
Q9CZI9	68048	64782
Q62095	26900	8653
Q9JKY5	29816	9026
Q05816	16592	2171
Q99JH1	69961	138716
P15105	14645	2752
Q9DBE8	56737	85365
P09405	17975	4691
Q6ZQI3	109154	9761
O89023	12751	1200
Q8VDN4	215707	80212
Q8VCW8	264895	80221
Q01320	21973	7153
Q9QZK2	29815	8412
Q8VEH5	77781	9852
Q69ZA1	69562	8621
Q80SY5	66921	55119
Q9CQE8	68045	51637
Q8VI84	57753	64318
Q99LC8	209354	1967
Q7TPV4	18432	10514
P14131	20055	6217
A2AF47	75974	139818
Q8BGH2	68653	25813
P26040	22350	7430
Q61335	27061	10134
P49586	13026	5130
Q76N33	76630	57559
Q9D662	27054	10483
O70472	56030	23505
Q8R0F8	68636	81889
Q9JJY4	53975	11218
Q99LL5	103136	11137
P58021	68059	9375
Q91YM2	232906	2909
Q9R207	27354	4683
Q60960	16646	3836
Q8VEM8	18674	5250
Q8VEM8	102641364	5250
Q9D1D4	68581	10972
Q8C0P0	67121	84930
Q64727	22330	7414
Q3UYV9	433702	4686
Q810D6	101612	83743
Q6A028	20947	23075
Q8VE98	102657	80381
Q76KJ5	70333	10849
Q9CRA8	27998	56915
Q61164	13018	10664
Q8C1Y8	231874	51622
Q8C1Y8	231874	221960
Q9D0T1	20826	4809
Q9QY30	27413	8647
Q9QUH0	93692	2745
Q9D7G0	19139	5631
O54743	14238	2295
Q9D024	67163	57003
Q61768	16573	3799
Q9JI13	65961	57050
Q9JK38	54342	64841
Q05186	19672	5954
Q05186	19672	440034
Q62384	22687	8882
P58389	110854	5524
P34022	19385	5902
P28867	18753	5580
P10630	13682	1974
B1AZI6	331401	57187
P83882	66483	6173
Q8C1Q6	66487	440957
P62071	66922	22800
Q8VHR5	229542	57459
Q8JZV7	245847	51005
Q8BT60	70568	8895
Q3THS6	232087	4144
Q8BY87	74996	55031
Q9QYI4	56709	54788
P62806	319160	8368
P62806	102641229	8368
Q8BX94	228983	9885
P49443	19042	5494
Q6PAC3	223499	25879
Q9DCD2	67439	56949
P30412	19038	5480
Q3U5F4	230734	79693
Q9WVA2	30058	1678
Q5SWD9	104662	55720
P26187	17314	4255
Q9EPB5	68607	253190
O35972	19935	6150
Q3U186	109093	57038
Q921G8	74237	10844
Q9D483	74414	10623
Q9DCJ5	68375	4702
Q9CQF3	68219	11051
Q8C854	NA	50804
Q99KU0	75909	81671
Q9WV91	19221	5738
Q8BU03	110816	5822
Q8C1B1	67886	23271
Q922H4	69080	29926
Q91YD3	75901	55802
Q9JKX6	53893	11164
Q9CPX8	66594	10975
O08715	11640	8165
Q60989	11798	112401
P11087	12842	1277
Q99KF1	67511	54732
Q8BHG9	106143	8545
P50543	20195	6282
P27808	17308	4245
P11688	16402	3678
Q78XF5	66357	58505
Q9Z0R9	56473	9415
Q91VK1	66912	28969
Q99L48	97112	51068
Q9QZ23	56748	27247
Q91WD5	226646	4720
Q99J09	70465	79084
Q8QZV7	71177	55726
Q9CQF0	66419	65003
Q8BGD9	75705	1975
Q9CRB9	66075	54927
Q3THK3	98053	2962
Q61550	19357	5885
P43276	56702	3009
P58774	22004	7169
Q9Z1N2	18392	4998
Q9D0F1	67052	10403
Q8K4E0	236266	7840
Q9D2E2	68276	114034
Q924M7	110119	4351
Q8C854	17876	50804
P62918	26961	6132
Q9CXY9	329777	10026
P97379	23881	9908
P47963	270106	6137
P97287	17210	4170
P83887	103733	7283
Q99JY0	231086	3032
Q8C3R1	231841	221927
Q9CRB2	52530	55651
P61620	53421	29927
Q9QZE5	54161	22820
